OID,Asset_Group,Is_Connected,Install_Year,Diameter,Material,Avg_Kam_Avg,Max_Kam_Max,Min_Kam_Min,Avg_Kam_Count,Avg_Kam_NaN_Count,Max_Avg_gpm,Line_Length,Dist_to_Storage,Dist_to_Hydrant,Dist_to_PV,Dist_to_SV,Leak_Y_N
9317,1,1,1909,6,0,0,0,0,0,0,0,14,2314,77,3245,0,0
10444,1,1,1987,10,0,0,0,0,0,0,0,8,3948,41,1409,0,0
579,2,0,1966,0.75,0,0,0,0,0,0,0,14,2613,51,4137,53,0
7642,2,0,0,0.75,0,0,0,0,0,0,0,3,4546,12,1071,13,0
8022,1,1,1999,0,0,0,0,0,0,0,0,97,2981,55,2090,3,0
8023,1,1,1999,0,0,0,0,0,0,0,0,41,2954,148,2094,99,0
8202,2,1,0,0.75,84,5,17,5,153,0,0,8,684,183,4084,175,0
6910,1,1,1953,36,83,0,0,0,0,0,0,1888,3197,104,15,25,0
7108,2,0,0,0.75,0,0,0,0,0,0,0,15,4549,12,1058,4,0
5136,1,1,1990,6,0,0,0,0,0,0,0,6,3291,29,273,0,0
7012,2,1,2021,0.75,84,0,0,0,0,0,0,6,2155,278,863,299,0
4438,1,1,1948,14,0,0,0,0,0,0,0,47,3575,43,2500,1,0
1741,1,1,1923,6,0,53,112,0,136,0,2,0,4206,151,2150,0,0
1742,1,1,1923,6,0,53,112,0,136,0,2,337,4206,34,1968,0,0
6265,2,1,0,0.75,0,0,0,0,0,0,0,8,1407,53,4235,40,0
9450,1,1,1925,10,0,0,0,0,0,0,0,14,1907,51,2961,0,0
10727,1,1,1929,10,0,0,0,0,0,0,0,13,1907,51,2963,0,0
1215,2,0,0,0.75,0,0,0,0,0,0,0,2,4547,12,1071,13,0
7684,2,1,0,0,0,0,0,0,0,0,0,23,2333,127,3040,74,0
10698,2,1,0,0,0,0,0,0,0,0,0,4,2338,127,3042,74,0
797,1,1,1985,8,88,0,0,0,0,0,0,11,834,183,1039,0,0
1426,1,1,0,8,0,0,0,0,0,0,0,2,2333,128,3039,78,0
8361,2,0,0,0.75,0,0,0,0,0,0,0,14,4550,10,1059,6,0
6404,1,1,1947,16,0,0,0,0,0,0,0,308,3885,53,835,5,0
5634,1,1,0,2,83,0,0,0,0,0,0,16,1439,15,4218,0,0
5889,2,0,1904,6,0,0,0,0,0,0,0,33,5494,286,1015,22,0
